DIM_CUSTOMER_MONTHLY_RATE.AUDT_SRC_SYS_CODE TEXT
DIM_CUSTOMER_MONTHLY_RATE.AUDT_BATCH_ID TEXT
DIM_CUSTOMER_PAYMENTS_LEGAL.CUSTOMER_ID TEXT
DIM_CUSTOMER_PAYMENTS_LEGAL.CUSTOMER_SRC_ID TEXT
DIM_CUSTOMER_PAYMENTS_LEGAL.CUSTOMER_SRC_NUM TEXT
DIM_CUSTOMER_PAYMENTS_LEGAL.CORP_ACCOUNT_SRC_NUM TEXT
DIM_CUSTOMER_PAYMENTS_LEGAL.EXTERNAL_ID TEXT
DIM_CUSTOMER_PAYMENTS_LEGAL.PARENT_CUSTOMER_SRC_ID TEXT
DIM_CUSTOMER_PAYMENTS_LEGAL.CUSTOMER_ACCOUNT_STATUS TEXT
DIM_CUSTOMER_PAYMENTS_LEGAL.MASTER_ADDON TEXT
DIM_CUSTOMER_PAYMENTS_LEGAL.ORIGINAL_JOIN_DATE TIMESTAMP_NTZ
DIM_CUSTOMER_PAYMENTS_LEGAL.MIGRATION_DATE TIMESTAMP_NTZ
DIM_CUSTOMER_PAYMENTS_LEGAL.BILL_CYCLE_DAY NUMBER
DIM_CUSTOMER_PAYMENTS_LEGAL.LAST_INVOICE_DATE TIMESTAMP_NTZ
DIM_CUSTOMER_PAYMENTS_LEGAL.LAST_PAYMENT_DATE TIMESTAMP_NTZ
DIM_CUSTOMER_PAYMENTS_LEGAL.PAYMENT_BATCH TEXT
DIM_CUSTOMER_PAYMENTS_LEGAL.PAYMENT_GATEWAY_NAME TEXT
DIM_CUSTOMER_PAYMENTS_LEGAL.PAYMENT_PRIORITY TEXT
DIM_CUSTOMER_PAYMENTS_LEGAL.PAYMENT_TERM TEXT
DIM_CUSTOMER_PAYMENTS_LEGAL.CREDIT_BALANCE NUMBER
DIM_CUSTOMER_PAYMENTS_LEGAL.IS_IN_COLLECTIONS BOOLEAN
DIM_CUSTOMER_PAYMENTS_LEGAL.COLLECTIONS TEXT
DIM_CUSTOMER_PAYMENTS_LEGAL.COLLECTIONS_AGENT TEXT
DIM_CUSTOMER_PAYMENTS_LEGAL.CORPORATE_CONTRACT_TYPE TEXT
DIM_CUSTOMER_PAYMENTS_LEGAL.JOIN_DATE TIMESTAMP_NTZ
DIM_CUSTOMER_PAYMENTS_LEGAL.CORP_BENEFIT_TYPE TEXT
DIM_CUSTOMER_PAYMENTS_LEGAL.IS_HEALTHCARE BOOLEAN
DIM_CUSTOMER_PAYMENTS_LEGAL.MEMBER_SINCE_DATE DATE
DIM_CUSTOMER_PAYMENTS_LEGAL.USERNAME TEXT
DIM_CUSTOMER_PAYMENTS_LEGAL.CHECKIN_CODE TEXT
DIM_CUSTOMER_PAYMENTS_LEGAL.DATE_OF_BIRTH TIMESTAMP_NTZ
DIM_CUSTOMER_PAYMENTS_LEGAL.GENDER TEXT
DIM_CUSTOMER_PAYMENTS_LEGAL.FIRST_NAME TEXT
DIM_CUSTOMER_PAYMENTS_LEGAL.LAST_NAME TEXT
DIM_CUSTOMER_PAYMENTS_LEGAL.FULL_NAME TEXT
DIM_CUSTOMER_PAYMENTS_LEGAL.MKT_EMAIL TEXT
DIM_CUSTOMER_PAYMENTS_LEGAL.IS_OPTIN_EMAIL BOOLEAN
DIM_CUSTOMER_PAYMENTS_LEGAL.OPTIN_EMAIL_DATE TIMESTAMP_NTZ
DIM_CUSTOMER_PAYMENTS_LEGAL.ADDRESS_LINE_1 TEXT
DIM_CUSTOMER_PAYMENTS_LEGAL.ADDRESS_LINE_2 TEXT
DIM_CUSTOMER_PAYMENTS_LEGAL.CITY TEXT
DIM_CUSTOMER_PAYMENTS_LEGAL.STATE TEXT
DIM_CUSTOMER_PAYMENTS_LEGAL.ADDRESS_ZIP TEXT
DIM_CUSTOMER_PAYMENTS_LEGAL.PHONE_PRIMARY TEXT
DIM_CUSTOMER_PAYMENTS_LEGAL.IS_OPTIN_PHONE BOOLEAN
DIM_CUSTOMER_PAYMENTS_LEGAL.OPTIN_PHONE_DATE TIMESTAMP_NTZ
DIM_CUSTOMER_PAYMENTS_LEGAL.PHONE_SECONDARY TEXT
DIM_CUSTOMER_PAYMENTS_LEGAL.CIAM_INGEST_UPDATE_DATE TIMESTAMP_NTZ
DIM_CUSTOMER_PAYMENTS_LEGAL.CREATED_SRC_DATE TIMESTAMP_NTZ
DIM_CUSTOMER_PAYMENTS_LEGAL.UPDATED_SRC_DATE TIMESTAMP_NTZ
DIM_CUSTOMER_PAYMENTS_LEGAL.COLLECTIONS_FLAG TEXT
DIM_CUSTOMER_PAYMENTS_LEGAL.AUDT_CREATE_DATE TIMESTAMP_NTZ
DIM_CUSTOMER_PAYMENTS_LEGAL.AUDT_UPDATE_DATE TIMESTAMP_NTZ
DIM_CUSTOMER_PAYMENTS_LEGAL.AUDT_USER_ID TEXT
DIM_CUSTOMER_PAYMENTS_LEGAL.AUDT_SRC_SYS_CODE TEXT
DIM_CUSTOMER_PAYMENTS_LEGAL.AUDT_BATCH_ID TEXT
DIM_CUSTOMER_PAYMENTS_LEGAL.SOURCE_DATA TEXT
DIM_CUSTOMER_WASH.CUSTOMER_ID TEXT
DIM_CUSTOMER_WASH.CUSTOMER_SRC_ID TEXT
DIM_CUSTOMER_WASH.CUSTOMER_SRC_NUM TEXT
DIM_CUSTOMER_WASH.CORP_ACCOUNT_SRC_NUM TEXT
DIM_CUSTOMER_WASH.EXTERNAL_ID TEXT
DIM_CUSTOMER_WASH.PARENT_CUSTOMER_SRC_ID TEXT
DIM_CUSTOMER_WASH.CUSTOMER_ACCOUNT_STATUS TEXT
DIM_CUSTOMER_WASH.MASTER_ADDON TEXT
DIM_CUSTOMER_WASH.ORIGINAL_JOIN_DATE TIMESTAMP_NTZ
DIM_CUSTOMER_WASH.MIGRATION_DATE TIMESTAMP_NTZ
DIM_CUSTOMER_WASH.BILL_CYCLE_DAY NUMBER
DIM_CUSTOMER_WASH.LAST_INVOICE_DATE TIMESTAMP_NTZ
DIM_CUSTOMER_WASH.LAST_PAYMENT_DATE TIMESTAMP_NTZ
DIM_CUSTOMER_WASH.PAYMENT_BATCH TEXT
DIM_CUSTOMER_WASH.PAYMENT_GATEWAY_NAME TEXT
DIM_CUSTOMER_WASH.PAYMENT_PRIORITY TEXT
DIM_CUSTOMER_WASH.PAYMENT_TERM TEXT
DIM_CUSTOMER_WASH.CREDIT_BALANCE NUMBER
DIM_CUSTOMER_WASH.IS_IN_COLLECTIONS BOOLEAN
DIM_CUSTOMER_WASH.COLLECTIONS TEXT
DIM_CUSTOMER_WASH.COLLECTIONS_AGENT TEXT
DIM_CUSTOMER_WASH.CORPORATE_CONTRACT_TYPE TEXT
DIM_CUSTOMER_WASH.JOIN_DATE TIMESTAMP_NTZ
DIM_CUSTOMER_WASH.CORP_BENEFIT_TYPE TEXT
DIM_CUSTOMER_WASH.IS_HEALTHCARE BOOLEAN
DIM_CUSTOMER_WASH.MEMBER_SINCE_DATE DATE
DIM_CUSTOMER_WASH.USERNAME TEXT
DIM_CUSTOMER_WASH.CHECKIN_CODE TEXT
DIM_CUSTOMER_WASH.DATE_OF_BIRTH TIMESTAMP_NTZ
DIM_CUSTOMER_WASH.GENDER TEXT
DIM_CUSTOMER_WASH.FIRST_NAME TEXT
DIM_CUSTOMER_WASH.LAST_NAME TEXT
DIM_CUSTOMER_WASH.FULL_NAME TEXT
DIM_CUSTOMER_WASH.MKT_EMAIL TEXT
DIM_CUSTOMER_WASH.IS_OPTIN_EMAIL BOOLEAN
DIM_CUSTOMER_WASH.OPTIN_EMAIL_DATE TIMESTAMP_NTZ
DIM_CUSTOMER_WASH.ADDRESS_LINE_1 TEXT
DIM_CUSTOMER_WASH.ADDRESS_LINE_2 TEXT
DIM_CUSTOMER_WASH.CITY TEXT
DIM_CUSTOMER_WASH.STATE TEXT
DIM_CUSTOMER_WASH.ADDRESS_ZIP TEXT
DIM_CUSTOMER_WASH.PHONE_PRIMARY TEXT
DIM_CUSTOMER_WASH.IS_OPTIN_PHONE BOOLEAN
DIM_CUSTOMER_WASH.OPTIN_PHONE_DATE TIMESTAMP_NTZ
DIM_CUSTOMER_WASH.PHONE_SECONDARY TEXT
DIM_CUSTOMER_WASH.CIAM_INGEST_UPDATE_DATE TIMESTAMP_NTZ
DIM_CUSTOMER_WASH.CREATED_SRC_DATE TIMESTAMP_NTZ
DIM_CUSTOMER_WASH.UPDATED_SRC_DATE TIMESTAMP_NTZ
DIM_CUSTOMER_WASH.COLLECTIONS_FLAG TEXT
